"character" "dialogue"
"480" "YODA" "Run! Yes. A Jedi's strength flows from the Force. But beware the dark side. Anger... fear... aggression. The dark side of the Force is them. Easily they flow, fast to join you in a fight. If once you begin the dark path, forever it will dominate your destiny, consume you, as it did Obi-Wan's apprentice."
"481" "LUKE" "Vader. Is the dark side stronger?"
"482" "YODA" "No...no...no. Faster, easier, more seductive."
"483" "LUKE" "But how am I supposed to tell the good from the bad?"
"484" "YODA" "You will know. When you are calm, at peace. Passive. A Jedi uses the Force for knowledge and defense, never for attack."
"485" "LUKE" "But tell me why I can't..."
"486" "YODA" "No, no, there is no reason. I will teach you nothing more today. Clear your mind of questions. Mmm. Mmmmmm."
"487" "LUKE" "Something's wrong here."
"488" "LUKE" "I feel cold, death."
"489" "YODA" "That place... is strong with the dark side of the Force. It is a domain of evil. In you must go."
"490" "LUKE" "What's there?"
"491" "YODA" "Only what you take with you."
"492" "YODA" "Your weapons... you won't need them."
"493" "PIETT" "Bounty hunters. We don't need these scum."
"494" "FIRST CONTROLLER" "Yes, sir."
"495" "PIETT" "These rebels won't escape us."
"496" "SECOND CONTROLLER" "Sir, we have a priority signal from the Star Destroyer Avenger."
"497" "PIETT" "Okay."
"498" "VADER" "...there will be a substantial reward for whoever finds the Millennium Falcon. You are free to use whatever methods necessary, but I want them alive. No disintegrations."
"499" "BOBA FETT" "As you wish."
"500" "PIETT" "Lord Vader! My lord, we have them."
"501" "THREEPIO" "Ah, thank God we're leaving the asteroid field."
"502" "HAN" "Let's get out of here. Ready for light speed? One...two...three!"
"503" "HAN" "It's not fair!"
"504" "HAN" "The transfer circuits are working. It's not my fault!"
"505" "READ" "No light speed?"
"506" "HAN" "It's not my fault."
"507" "THREEPIO" "Sir, we just lost the main rear deflector shield. One more direct hit to the rear quarter and we're finished."
"508" "HAN" "Turn it over."
"509" "HAN" "I said turn her around! I'll put all the power into the front shield."
"510" "READ" "Are you going to attack them?!"
"511" "THREEPIO" "Sir, the chances of surviving a direct attack on an Imperial Star Destroyer..."
"512" "READ" "Shut up!"
"513" "NEEDA" "They are moving into attack position. Shields up!"
"514" "NEEDA" "Track them. They might show up for another pass."
"515" "TRACKING OFFICER" "Captain Needa, the ship is no longer in our sights."
"516" "NEEDA" "They can't be gone. No ship that small has a cloaking device."
"517" "TRACKING OFFICER" "Well, there's no trace of them, sir."
"518" "COMMUNICATIONS OFFICER" "Captain, Lord Vader demands an update on the pursuit."
"519" "NEEDA" "Prepare a shuttlecraft. I will take full responsibility for losing it, and I apologize to Lord Vader. In the meantime, continue searching the area."
"520" "COMMUNICATIONS OFFICER" "Yes, Captain Needa."
"521" "YODA" "Use the Force. Yes..."
"522" "YODA" "Now... the stone. Feel it."
"523" "YODA" "Focus!"
"524" "LUKE" "Oh no. We're never going to release it now."
"525" "YODA" "So right you are. Always with you can't be done. Didn't you hear anything I said?"
"526" "LUKE" "Master, moving rocks is one thing. This is entirely different."
"527" "YODA" "No! It's not different! Just different in your mind. You must unlearn what you've learned."
"528" "LUKE" "Okay, I'll try."
"529" "YODA" "No! Don't try. Do. Or don't. There is no try."
"530" "LUKE" "I can't. It's too big."
"531" "YODA" "Size doesn't matter. Look at me. Judge me by my size, won't you? Hm? Mmmm."
"532" "YODA" "And well, you shouldn't. To my ally in the Force. And a powerful ally it is. Life creates it, makes it grow. Its energy surrounds us and binds us. Luminous beings are we... ...not this raw matter. You must feel the Force all around you. Here, between you... me... the tree... the rock... everywhere! Yes, even between this earth and that ship!"
"533" "LUKE" "You want the impossible."
"534" "LUKE" "I don't... I don't believe it."
"535" "YODA" "That's why you fail."
"536" "VADER" "Apology accepted, Captain Needa."
"537" "PIETT" "Lord Vader, our ships have completed their scan of the area and have found nothing. If the Millennium Falcon entered at the speed of light, it will already be on the other side of the galaxy."
"538" "VADER" "Alert all commands. Calculate all possible destinations along its last known trajectory."
"539" "PIETT" "Yes, my lord. We will find them."
"540" "VADER" "Don't fail me again, Admiral."
"541" "PIETT" "Alert all commands. Deploy fleet."
"542" "THREEPIO" "Captain Solo, this time you've gone too far. No, I won't keep quiet, Chewbacca. Why doesn't anyone listen to me?"
"543" "HAN" "The fleet is beginning to disintegrate. Go back and wait for the manual release of the landing claw."
"544" "THREEPIO" "I really don't see how that will help. Surrender is a perfectly acceptable alternative in extreme circumstances. The Empire might be kind enough..."
"545" "HAN" "Thank you."
"546" "READ" "What do you have in mind for your next move?"
"547" "HAN" "Well, if they follow standard Empire procedure, they'll dump the trash before going to light speed, so we just float away."
"548" "READ" "With the rest of the trash. And then?"
"549" "HAN" "So we have to find a safe haven somewhere around here. Do you have any ideas?"
"550" "READ" "No. Where are we?"
"551" "HAN" "The Anoat system."
"552" "READ" "Anoat System. Not much there."
"553" "HAN" "No. Well, wait. That's interesting. Lando."
"554" "READ" "Lando System?"
"555" "HAN" "Lando is not a system, he is a man. Lando Calrissian. He is a card player, gambler, scoundrel. You would like him."
"556" "READ" "Thank you."
"557" "HAN" "Bespin. It's a long way away, but I think we can do it."
"558" "READ" "A mining colony?"
"559" "HAN" "Yes, a Tibanna gas mine. Lando tricked someone. We go back a long way, Lando and I."
"560" "READ" "Can you trust him?"
"561" "HAN" "No. But he has no love for the Empire, I can tell you that."
"562" "HAN" "Here we go, Chewie. Hold on. Let go!"
"563" "READ" "You have your moments. Not many, but you have them."
"564" "YODA" "Concentrate... feel the flow of the Force. Yes. Good. Calm, yes. Through the Force, things you will see. Other places. The future... the past. Old friends meet they were."
"565" "LUKE" "Han! Read it!"
"566" "YODA" "Hmm. Control, control. You must learn to control."
"567" "LUKE" "I saw... I saw a city in the clouds."
"568" "YODA" "Mmm. Friends you have there."
"569" "LUKE" "They were in pain."
"570" "YODA" "It's the future you see."
"571" "LUKE" "Future? Will they die?"
"572" "YODA" "Hard to see. Always in motion is the future."
"573" "LUKE" "I have to go to them."
"574" "YODA" "Decide how you should serve them best. If you leave now, help them that you could. But you would destroy everything they have fought and suffered for."
"575" "HAN" "No, I don't have landing clearance. I'm trying to talk to Lando Calrissian."
"576" "HAN" "Wow! Wait a minute! Let me explain."
"577" "INTERCOM VOICE" "You will not deviate from your current course."
"578" "THREEPIO" "Quite delicate, aren't they?"
"579" "READ" "I thought you knew this person."
"580" "HAN" "Well, that was a long time ago. I'm sure he forgot about that."
"581" "INTERCOM VOICE" "Permission granted to land on Platform Three-two-seven."
"582" "HAN" "Thank you."
"583" "HAN" "There's nothing to worry about. We're back, Lando and I."
"584" "READ" "Who's worried?"
"585" "THREEPIO" "Ah. No one to meet us."
"586" "READ" "I don't like it."
"587" "HAN" "Well, what would you like?"
"588" "THREEPIO" "Well, they let us land."
"589" "HAN" "Look, don't worry. Everything will be fine. Trust me."
"590" "HAN" "See? My friend. Keep your eyes open, okay?"
"591" "LANDO" "Why, you slimy, backstabbing, worthless crook! You've got a lot of nerve coming here, after what you've pulled."
"592" "LANDO" "How are you, you old pirate? It's good to see you! I never thought I'd meet you again. Where have you been?"
"593" "THREEPIO" "Well, he seems very friendly."
"594" "READ" "Yes... very nice."
"595" "LANDO" "What are you doing here?"
"596" "HAN" "Ahh... repairs. I thought you could help me."
"597" "LANDO" "What did you do to my ship?"
"598" "HAN" "Your ship? Hey, remember, you lost it to me fair and square."
"599" "LANDO" "Hello. What do we have here? Welcome. I'm Lando Calrissian. I'm the administrator of this facility. And who might you be?"
"600" "READ" "Read."
"601" "LANDO" "Welcome, Leia."
"602" "HAN" "Alright, alright, you old beater."
"603" "THREEPIO" "Hello, sir. I am See-Threepio, human-cyborg relations. My facility is at your..."
"604" "THREEPIO" "Well, really!"
"605" "LANDO" "What's wrong with the Falcon?"
"606" "HAN" "Hyperdrive."
"607" "LANDO" "I'll get my people to work on it."
"608" "HAN" "Good."
"609" "LANDO" "You know, that ship saved my life a few times. She's the fastest piece of junk in the galaxy."
"610" "HAN" "How's the gas mine? Is it worth it for you?"
"611" "LANDO" "Ah, not as well as I'd like. We're a small outpost and not very self-sufficient. And I've had supply problems of all kinds. I've had labor difficulties... What's so funny?"
"612" "HAN" "You. Listen to you - you look like a businessman, a responsible leader. Who would have thought that, huh?"
"613" "LANDO" "You know, seeing you sure brings some things back."
"614" "HAN" "Yes."
"615" "LANDO" "Yes, I'm responsible these days. It's the price you pay for success."
"616" "THREEPIO" "Ah! It's good to see a familiar face."
"617" "SECOND THREE EPIOS" "And kick!"
"618" "THREEPIO" "How rude!"
"619" "THREEPIO" "That sounds like an R2 unit there. Does..."
"620" "THREEPIO" "Hello? How interesting. Oh, my."
"621" "MAN" "Who are you?"
"622" "THREEPIO" "Oh, I'm sorry. I... I didn't mean to intrude. No, no, please don't get up. No!"
"623" "YODA" "Luke! You must complete the training."
"624" "LUKE" "I can't get the vision out of my head. They're my friends. I have to help them."
"625" "YODA" "You must not go!"
"626" "LUKE" "But Han and Leia will die if I don't."
"627" "BEN" "You don't know that."
"628" "BEN" "Even Yoda cannot see their fate."
"629" "LUKE" "But I can help them! I feel the Force!"
"630" "BEN" "But you cannot control it. This is a dangerous time for you, when you will be tempted by the dark side of the Force."
"631" "YODA" "Yes, yes. For Obi-Wan you hear. The cave. Remember your failure in the cave!"
"632" "LUKE" "But I've learned a lot since then. Master Yoda, I promise to come back and finish what I started. You have my word."
"633" "BEN" "It's you and your skills that the Emperor wants. That's why your friends are made to suffer."
"634" "LUKE" "And that's why I have to go."
"635" "BEN" "Luke, I don't want to lose you to the Emperor the way I lost Vader."
"636" "LUKE" "You won't."
"637" "YODA" "They must be still. It depends. Only a Jedi Knight fully trained with the Force as your ally will win over Vader and his Emperor. If you finish your training now, if you choose the quick and easy path, as Vader did , you will become an agent of evil."
"638" "BEN" "Patience."
"639" "LUKE" "And sacrifice Han and Leia?"
"640" "YODA" "If you honor what they fight for... yes!"
"641" "BEN" "If you choose to face Vader, you will do so alone. I cannot interfere."
"642" "LUKE" "I see. Artoo, turn on the converters."
"643" "BEN" "Luke, don't give in to hate - it leads to the dark side."
"644" "YODA" "Strong is Vader. Be careful what you learn. Save you may."
"645" "LUKE" "I will. And I will come back. I promise."
"646" "YODA" "I told you, I told you. He's reckless. Now things are worse."
"647" "BEN" "This boy is our last hope."
"648" "YODA" "No. There is another."
"649" "HAN" "The ship is almost ready. Two or three more things and we're in great shape."
"650" "READ" "The sooner the better. Something is wrong here. No one has seen or knows anything about Threepio. He's been gone too long to be lost."
"651" "HAN" "Relax. I'll talk to Lando and see what I can find out."
"652" "READ" "I don't trust Lando."
"653" "HAN" "Well, I don't trust him either. But he's my friend. Besides, we'll be leaving soon."
"654" "READ" "And then you're gone, aren't you?"
"655" "READ" "What happened?"
"656" "HAN" "Where? Did you find it in a pile of trash?"
"657" "READ" "Oh, what a mess. Chewie, do you think you can fix it?"
"658" "HAN" "Lando has people who can fix him."
"659" "READ" "No, thank you."
"660" "LANDO" "Sorry. Am I interrupting something?"
"661" "READ" "Not really."
"662" "LANDO" "You look absolutely beautiful. You really belong here with us among the clouds."
"663" "READ" "Thank you."
"664" "LANDO" "Can you join me for refreshment?"
"665" "LANDO" "Everyone is invited, of course."
"666" "LANDO" "Having trouble with your droid?"
"667" "HAN" "No. No problem. Why?"
"668" "LANDO" "So you see, since we're a small operation, we don't fall under the...uh...jurisdiction of the Empire."
"669" "READ" "So you're part of the mining guild?"
"670" "LANDO" "No, not really. Our operation is small enough not to be noticed... which is a win-win, as our customers are eager to avoid drawing attention to themselves."
"671" "HAN" "Aren't you afraid that the Empire will find out about this little operation and shut you down?"
"672" "LANDO" "This has always been a danger hanging like a shadow over everything we've built here. But things have developed to ensure safety. I've just made a deal that will keep the Empire out of here forever."
"673" "VADER" "We would be honored if you would join us."
"674" "LANDO" "I had no choice. They got there way before you. I'm sorry."
"675" "HAN" "I'm sorry too."
"676" "LUKE" "No, Threepio is with them."
"677" "LUKE" "Hang on. We're almost there."
"678" "THREEPIO" "Mmmm. Oh, my. Uh, I, uh -- Take it off! I, uh, don't want to intrude here. I, no, no, no, no... Please don't get up. No!”
"679" "THREEPIO" "Stormtroopers? Here? We're in danger. I must tell the others. Oh, no! I've been shot!"
"680" "LANDO" "Lord Vader."
"681" "VADER" "You can take Captain Solo to Jabba the Hut after I have Skywalker."
"682" "BOBA FETT" "He's no good to me dead."
"683" "VADER" "He will suffer no permanent damage."
"684" "LANDO" "Lord Vader, what about Leia and the Wookiee?"
"685" "VADER" "They must never leave this city again."
"686" "LANDO" "That was never a condition of our agreement, nor was giving Han to that bounty hunter!"
"687" "VADER" "Perhaps you think you are being treated unfairly."
"688" "LANDO" "No."
"689" "VADER" "Good. It would be unfortunate if I had to leave a garrison here."
"690" "LANDO" "This thing is getting worse and worse."
"691" "THREEPIO" "Oh, yes, that's very good. I like it. Oh! Something's not right 'cause now I can't see. Wait. Wait! Oh, my! what have you done? I'm behind, you stupid furball. Only a knucklehead like you would be stupid enough..."
"692" "HAN" "I feel terrible."
"693" "READ" "Why are they doing this?"
"694" "HAN" "They never asked me any questions."
"695" "READ" "Lando."
"696" "HAN" "Get out of here, Lando!"
"697" "LANDO" "Shut up and listen! Vader has agreed to hand over Leia and Chewie to me."
"698" "HAN" "For you?"
"699" "LANDO" "They'll have to stay here, but at least they'll be safe."
"700" "READ" "What about Han?"
"701" "LANDO" "Vader is giving him to the bounty hunter."
"702" "READ" "Vader wants us all dead."
"703" "LANDO" "He doesn't want you at all. He's after someone named Skywalker."
"704" "HAN" "Luke?"
"705" "LANDO" "Lord Vader has set a trap for him."
"706" "READ" "And we are the bait."
"707" "LANDO" "Well, he's on his way."
"708" "HAN" "Perfect. You fixed us all up nicely, didn't you? My friend!"
"709" "LANDO" "Stop! I've done all I can do. I'm sorry I didn't do better, but I have my own problems."
"710" "HAN" "Yes, you are a true hero."
"711" "READ" "You certainly have a way with people."
"712" "VADER" "This facility is rudimentary, but should be adequate to freeze Skywalker on his journey to the Emperor."
"713" "IMPERIAL SOLDIER" "Lord Vader, ship approaching. X-wing class."
"714" "VADER" "Good. Monitor Skywalker and allow him to land."
"715" "LANDO" "Lord Vader, we only use this facility for carbon freezing. If you put him there, it could kill him."
"716" "VADER" "I don't want the Emperor's prize to be damaged. Let's test it... on Captain Solo."
"717" "THREEPIO" "If you had attached my legs, I wouldn't be in this ridiculous position. Now, remember, Chewbacca, you have a responsibility to me, so don't do anything foolish."
"718" "HAN" "What's going on... friend?"
"719" "LANDO" "You are being placed in carbon freeze."
"720" "BOBA FETT" "What if he doesn't survive? He's worth a lot to me."
"721" "VADER" "The Empire will compensate him if he dies. Put him here!"
"722" "THREEPIO" "Oh, no! No, no, no! Stop, Chewbacca, stop...!"
"723" "HAN" "Stop, Chewie, stop! Do you hear me? Stop!"
"724" "THREEPIO" "Yes, stop, please! I'm not ready to die."
"725" "HAN" "Chewie! Chewie, this isn't going to help me. Hey!"
"726" "HAN" "Save your strength. There will be another time. The princess - you have to take care of her. Do you hear me?"
"727" "READ" "I love you!"
"728" "HAN" "I know."
"729" "THREEPIO" "What... what's going on? Turn around, Chewbacca, I can't see. Oh... they've encased him in carbonite. He should be well protected - if he survives the freezing process, that is."
"730" "VADER" "Well, Calrissian, did he survive?"
"731" "LANDO" "Yes, he is alive. And in perfect hibernation."
"732" "VADER" "He's all your bounty hunter. Reset the chamber for Skywalker."
"733" "IMPERIAL OFFICER" "Skywalker has just disembarked, my lord."
"734" "VADER" "Good. Make him find his way here. Calrissian, take the princess and the Wookiee to my ship."
"735" "LANDO" "You said they would be left in town under my supervision."
"736" "VADER" "I'm changing the agreement. Please don't change it anymore."
"737" "READ" "Luke! Luke, no -- it's a trap! It's a trap!"
"738" "VADER" "The Force is with you, young Skywalker. But you are not yet a Jedi."
"739" "LANDO" "Very well. Hold them to the security tower - and stay still. Move."
"740" "READ" "What do you think you're doing?"
"741" "LANDO" "Let's get out of here."
"742" "THREEPIO" "I knew all along it had to be a mistake."
"743" "READ" "Do you think that after what you did to Han we will trust you?"
"744" "LANDO" "I had no choice..."
"745" "THREEPIO" "What are you doing? Trust him, trust him!"
"746" "READ" "Ah, so we understand, don't we, Chewie? He had no choice."
"747" "LANDO" "I'm just trying to help..."
"748" "READ" "We don't need your help."
"749" "LANDO" "Haaa..."
"750" "READ" "What?"
"751" "THREEPIO" "It looks like Han."
"752" "LANDO" "There's still a chance to save Han... I mean, on the East Platform..."
"753" "READ" "Chewie."
"754" "THREEPIO" "I'm sorry about all this. After all, he's just a Wookiee."
"755" "BOBA FETT" "Place Captain Solo in the cargo hold."
"756" "THREEPIO" "Artoo! Artoo! Where have you been?"
"757" "THREEPIO" "Turn around, you furry...! Hurry, hurry! We're trying to save Han from the bounty hunter!"
"758" "THREEPIO" "Well, at least you're still in one piece! Look what happened to me!"
"759" "THREEPIO" "Oh no! Chewie, they're after you!"
"760" "VADER" "You've learned a lot, young man."
"761" "LUKE" "You'll find that I'm full of surprises."
"762" "VADER" "Your destiny lies with me, Skywalker. Obi-Wan knew this to be true."
"763" "LUKE" "No!"
"764" "VADER" "Very easy. Perhaps you are not as strong as the Emperor thought."
"765" "VADER" "Impressive... more impressive."
"766" "VADER" "Obi-Wan taught you well. You controlled your fear... now release your anger."
"767" "VADER" "Only your hatred can destroy me."
"768" "LANDO" "Security codes have been changed!"
"769" "THREEPIO" "Artoo, you can tell the computer to override the security system."
"770" "LANDO" "Attention! This is Lando Calrissian. The Empire has taken control of the city. I advise everyone to leave before more Imperial troops arrive."
"771" "LANDO" "This way."
"772" "THREEPIO" "Don't blame me. I'm an interpreter. I shouldn't know a socket from a computer terminal."
"773" "THREEPIO" "What are you talking about? We're not interested in the Millennium Falcon's hyperdrive. It's fixed! Just open the door, you idiot."
"774" "THREEPIO" "I never doubted you for a second. Wonderful!"
"775" "THREEPIO" "Ow! Oh! Ah! That hurt, Get down, you thoughtless... Ow!"
"776" "LANDO" "Leia! Go!"
"777" "THREEPIO" "I thought that hairy beast would be the end of me. Of course, I look better."
"778" "VADER" "You are defeated. It is futile to resist. Don't let yourself be destroyed like Obi-Wan did."
"779" "VADER" "There is no escape. Don't make me destroy you. You have not yet realized your importance. You have only begun to discover your power. Join me and I will complete your training. With our combined strength, we can finish with this destructive conflict and bring order to the galaxy."
"780" "LUKE" "I'll never join you!"
"781" "VADER" "If you only knew the power of the dark side. Obi-Wan never told you what happened to your father."
"782" "LUKE" "He told me enough! He told me you killed him."
"783" "VADER" "No. I am your father."
"784" "LUKE" "No. No. That's not true! That's impossible!"
"785" "VADER" "Search your feelings. You know it's true."
"786" "LUKE" "No! No! No!"
"787" "VADER" "Luke. You can destroy the Emperor. He foresaw it. It is your destiny. Join me, and we can rule the galaxy as father and son. Come with me. It is the only way."
"788" "LUKE" "Ben...Ben, please!"
"789" "LUKE" "Ben. Read it!"
"790" "LUKE" "Listen to me! Read!"
"791" "READ" "Luke... We have to go back."
"792" "LANDO" "What?"
"793" "READ" "I know where Luke is."
"794" "LANDO" "But what about those fighters?"
"795" "READ" "Chewie, just do it."
"796" "LANDO" "But what about Vader?"
"797" "LANDO" "Alright, alright, alright."
"798" "VADER" "Bring my shuttle."
"799" "LANDO" "Look, there's someone up there."
"800" "READ" "It's Luke. Chewie, slow down. Slow down and let's get under him. Lando, open the top hatch."
"801" "READ" "Okay. Easy, Chewie."
"802" "READ" "Lando?"
"803" "LANDO" "Okay, let's go."
"804" "LUKE" "Ah, Leia."
"805" "LANDO" "Alright, Chewie. Let's go."
"806" "READ" "I'll be right back."
"807" "LEIA" "Star Destroyer."
"808" "LANDO" "Alright, Chewie. Ready for light speed."
"809" "READ" "If your people fixed the hyperdrive."
"810" "READ" "All coordinates are set. It's now or never."
"811" "LANDO" "Punch!"
"812" "LANDO" "They told me they fixed it. I trusted them to fix it. It's not my fault!"
"813" "PIETT" "They'll be within our tractor beam range in moments, sir."
"814" "VADER" "Your men disabled the hyperdrive on the Millennium Falcon?"
"815" "PIETT" "Yes, my lord."
"816" "VADER" "Good. Prepare the boarding party and ready your weapons to stun."
"817" "PIETT" "Yes, my lord."
"818" "THREEPIO" "Noisy brute. Why don't we go to light speed?"
"819" "THREEPIO" "Can't we? How do you know the hyperdrive is disabled?"
"820" "THREEPIO" "Did the city's central computer tell you? Artoo-Detoo, you know better than to trust a strange computer. Ouch! Pay attention to what you're doing!"
"821" "VADER" "Luke."
"822" "LUKE" "Dad."
"823" "VADER" "Son, come with me."
"824" "LUKE" "Ben, why didn't you tell me?"
"825" "LANDO" "Chewie!"
"826" "LUKE" "It's Vader."
"827" "VADER" "Luke...it's your destiny."
"828" "LUKE" "Ben, why didn't you tell me?"
"829" "PIETT" "Alert all commands. Ready for tractor beam."
"830" "THREEPIO" "Artoo, come back already! You're not done with me yet! You don't know how to fix the hyperdrive. Chewbacca can do it. I'm here in pieces, and you're having delusions of grandeur!"
"831" "THREEPIO" "Ah, you did it!"
"832" "LANDO" "Luke, we're ready for takeoff."
"833" "LUKE" "Good luck, Lando"
"834" "LANDO" "When we find Jabba the Hut and that bounty hunter, we'll contact you."
"835" "LUKE" "I'll meet you at the meeting point on Tatooine."
"836" "LANDO" "Princess, we'll find Han. I promise."
"837" "LUKE" "Chewie, I'll be waiting for your signal."
"838" "LUKE" "Be careful, you two. May the Force be with you."
"839" "LUKE" "Ouch!"
