"character" "dialogue"
"377" "VADER" "Her resistance to the mental probe is considerable. It will be some time before we can extract any information from her."
"378" "IMPERIAL OFFICER" "Final checkout is complete. All systems are operational. What course should we set?"
"379" "TARKIN" "Perhaps she would respond to an alternative form of persuasion."
"380" "VADER" "What do you mean?"
"381" "TARKIN" "I think it is time we demonstrate the full power of this station. Set your course for Princess Leia's home planet of Alderaan."
"382" "TROOPER" "With pleasure."
"383" "THREEPIO" "Lock the door, Artoo."
"384" "TROOPER" "Alright, check that side of the street. It's safe. Go to the next door."
"385" "THREEPIO" "I would rather have gone with Master Luke than stay here with you. I don't know what all this trouble is about, but I'm sure it must be your fault."
"386" "THREEPIO" "Watch your language!"
"387" "LUKE" "He says it's the best he can do. Since the XP-38 came out, they"
"388" "BEN" "That will be enough."
"389" "BEN" "If the ship is as fast as he's boasting, we should do well."
"390" "JABBA" "Come on, Solo!"
"391" "HAN" "I've been waiting for you, Jabba."
"392" "JABBA" "I hoped you would."
"393" "HAN" "I'm not the running type."
"394" "JABBA" "Han, my boy, there are times when you disappoint me... why didn't you pay me? And why did you have to fry poor Greedo like that... after everything we've been through together ."
"395" "HAN" "You sent Greedo to blow me up."
"396" "JABBA" "Han, because you're the best smuggler in the business. You're too valuable to fry. He was just conveying my concern about your delays. He wasn't going to blow you up."
"397" "HAN" "I guess he thought so. Next time don't send one of those idiots. If you have something to tell me, come see me yourself."
"398" "JABBA" "Han, Han! If only you didn't have to dump that shipment of spices... you understand I can't make an exception. Your shipment at the first sign of an Imperial ship? Not a good business."
"399" "HAN" "You know, even I get shipped sometimes, Jabba. I had no choice, but I have a letter now and I can pay you back, plus some more. I just need some more time ."
"400" "JABBA" "Put away your blasters. Han, my boy, I'm only doing this because you're the best and I need you. So for an extra, say... twenty percent I'll give you some more time... but that's it, if you disappoint me again, I will put such a high price on your head that you won't be able to approach a civilized system for the rest of your short life."
"401" "HAN" "Jabba, I'm going to pay you because it's my pleasure."
"402" "LUKE" "What rubbish."
"403" "HAN" "She'll go point five beyond the speed of light. She may not look like much, but she's where it counts, kid. I added some special modifications myself."
"404" "HAN" "We're a little rushed, so if you hurry on board, we'll get out of here."
"405" "THREEPIO" "Hello, sir."
"406" "SOLDIER" "Which way?"
"407" "SOLDIER" "All right, men. Load your weapons!"
"408" "SOLDIER" "Stop that ship!"
"409" "SOLDIER" "Finish them!"
"410" "HAN" "Chewie, get us out of here!"
"411" "THREEPIO" "Oh, my. I had forgotten how much I hate space travel."
"412" "HAN" "Looks like an Imperial cruiser. Our passengers must be hotter than I thought. Try to hold them off. Tilt the deflector shield while I do the calculations for the jump to light speed."
"413" "HAN" "Stay tuned! There are two more coming; they're going to try to cut us off."
"414" "LUKE" "Why don't you outrun them? I thought you said this thing was fast."
"415" "HAN" "Watch your mouth, kid, or you'll find yourself floating home. We'll be safe enough when we make the jump to hyperspace. Besides, I know some maneuvers. We'll lose them!"
"416" "HAN" "This is where the fun begins!"
"417" "BEN" "How long before you can make the jump to light speed?"
"418" "HAN" "It will take a few moments to get the coordinates from the navigation computer."
"419" "LUKE" "Are you kidding? At the rate they're winning..."
"420" "HAN" "Traveling through hyperspace isn't like clearing crops, boy! Without precise calculations, we could fly right through a star or jump too close to a supernova and that would end your trip pretty quickly, wouldn't it?"
"421" "LUKE" "What's that flashing?"
"422" "HAN" "We're losing our deflector shield. Go strap in, I'll jump to light speed."
"423" "MOTTI" "We have entered the Alderaan system."
"424" "READ" "Governor Tarkin, I should have expected to find you holding Vader's collar. I recognized his stench when I was brought aboard."
"425" "TARKIN" "Charming to the end. You don't know how difficult I found it to sign the order to end your life!"
"426" "READ" "take responsibility yourself!"
"427" "TARKIN" "Princess Leia, before your execution I would like you to be my guest at a ceremony that will make this battle station operational. No star system will dare oppose the Emperor now."
"428" "READ" "The more you tighten your grip, Tarkin, the more star systems will slip through your fingers."
"429" "TARKIN" "Not after we demonstrate the power of this station. In a way, you have determined the choice of the planet that will be destroyed first. Since you are reluctant to give us the location of the Rebel base, I have chosen to test the power destructive of this season... on his home planet of Alderaan."
"430" "READ" "No! Alderaan is peaceful. We have no weapons. You can't..."
"431" "TARKIN" "Would you prefer another target? A military target? Then name the system!"
"432" "TARKIN" "I'm tired of asking this. Then it will be the last time. Where is the Rebel base?"
"433" "READ" "Dantooine."
"434" "READ" "They're on Dantooine."
"435" "TARKIN" "Over there. You see Lord Vader, she may be reasonable. Continue with the operation. You may fire when you are ready."
"436" "READ" "What?"
"437" "TARKIN" "You're being too trusting. Dantooine is too far away to make an effective demonstration. But don't worry. We'll deal with your rebel friends soon."
"438" "READ" "No!"
"439" "VADER" "Start primary ignition."
"440" "LUKE" "Are you okay? What's wrong?"
"441" "BEN" "I felt a great disturbance in the Force... as if millions of voices suddenly screamed in terror and were suddenly silenced. I fear something terrible has happened."
"442" "BEN" "You'd better get on with your exercises."
"443" "HAN" "Well, you can forget your problems with those imperial slugs. I told you I would get over them."
"444" "HAN" "Not everyone thanks me at once."
"445" "HAN" "Anyway, we should be on Alderaan in about oh-two hundred hours."
"446" "THREEPIO" "Now be careful, Artoo."
"447" "THREEPIO" "He made a fair play. Yelling about it won't help you."
"448" "HAN" "Let him have it. It's not wise to disturb a Wookiee."
"449" "THREEPIO" "But sir, no one cares about disturbing a droid."
"450" "HAN" "That's because droids don't take people's arms off when they lose. Wookiees have been known to do that."
"451" "THREEPIO" "I understand, sir. I suggest a new strategy, Artoo. Let the Wookiee win."
"452" "BEN" "Remember, a Jedi can feel the Force flowing through him."
"453" "LUKE" "You mean you control your actions?"
"454" "BEN" "Partially. But it also obeys your commands."
"455" "HAN" "Hypocritical religions and ancient weapons are no match for a good blaster at your side, boy."
"456" "LUKE" "You don't believe in the Force, do you?"
"457" "HAN" "Boy, I've flown from one side of this galaxy to the other. I've seen a lot of strange things, but I've never seen anything that makes me believe that there is an all-powerful force controlling everything. There is no field of mystical energy that controls my destiny."
"458" "HAN" "It's all a bunch of simple, meaningless tricks."
"459" "BEN" "I suggest you try again, Luke."
"460" "BEN" "This time, let go of your conscious self and act on instinct."
"461" "LUKE" "With the blast shield down, I can't even see. How am I supposed to fight?"
"462" "BEN" "Your eyes can deceive you. Don't trust them."
"463" "BEN" "Stretch with your feelings."
"464" "BEN" "You see, you can do this."
"465" "HAN" "I call it luck."
"466" "BEN" "In my experience, luck doesn't exist."
"467" "HAN" "Look, doing well against remotes is one thing. Doing well against the living? That's another thing."
"468" "HAN" "Looks like we're arriving at Alderaan."
"469" "LUKE" "You know, I felt something. I could almost see the remote."
"470" "BEN" "That's good. You've taken your first step into a bigger world."
"471" "TARKIN" "Yes."
"472" "OFFICER CASS" "Our scout ships have arrived on Dantooine. They have found the remains of a rebel base, but estimate it has been deserted for some time. They are now conducting an extensive search of the surrounding systems."
"473" "TARKIN" "She lied! She lied to us!"
"474" "VADER" "I told her she would never knowingly betray the Rebellion."
"475" "TARKIN" "Finish her...immediately!"
"476" "HAN" "Hold on, Chewie, here we go. Shut down the sublight engines."
"477" "HAN" "What...? Ah, we went out of hyperspace into a meteor shower. Some kind of asteroid collision. It's not on any of the charts."
"478" "LUKE" "What's going on?"
"479" "HAN" "Our position is correct, except... no, Alderaan!"
"480" "LUKE" "What do you mean? Where is it?"
"481" "HAN" "That's what I'm trying to tell you, kid. It's not there. It's been totally blown up."
"482" "LUKE" "What? How?"
"483" "BEN" "Destroyed... by the Empire!"
"484" "HAN" "The entire Starfleet couldn't destroy the entire planet. It would take a thousand ships with more firepower than me..."
"486" "LUKE" "Maybe they know what happened."
"485" "HAN" "There's another ship arriving."
"487" "BEN" "It's an Imperial fighter."
"488" "LUKE" "He followed us!"
"489" "BEN" "No. It's a short-range fighter."
"490" "HAN" "There's no base around here. Where did it come from?"
"491" "LUKE" "It's definitely leaving in a hurry. If they spot us, we're in trouble."
"492" "HAN" "Not if I can help it. Chewie... jam your transmissions."
"493" "BEN" "It would be better to let him go. He's too far out of reach."
"494" "HAN" "Not for long..."
"495" "BEN" "A fighter that size couldn't go that deep into space alone."
"496" "LUKE" "So he must have gotten lost, part of a convoy or something..."
"497" "HAN" "Well, he's not going to stick around long enough to tell anyone about us."
"498" "LUKE" "Look at him. He's going to that little moon."
"499" "HAN" "I think I can catch him before he gets there... he's almost in range."
"500" "BEN" "That's not the moon! It's a space station."
"501" "HAN" "It's too big to be a space station."
"502" "LUKE" "I have a bad feeling about this."
"503" "BEN" "Turn the ship around!"
"504" "HAN" "Yeah, I think you're right. Complete reverse! Chewie, block the auxiliary power."
"505" "LUKE" "Why are we still moving towards this?"
"506" "HAN" "We're trapped in a tractor beam! It's pulling us!"
"507" "LUKE" "But there has to be something you can do!"
"508" "HAN" "There's nothing I can do about it, kid. I'm at full power. I'm going to have to pull the plug. But they won't take me without a fight!"
"509" "BEN" "You can't win. But there are alternatives to fighting."
"510" "VOICE OVER DEATH STAR INTERCOM" "Clear Bay twenty-three seven. We're opening the magnetic field."
"511" "OFFICIAL" "To your stations!"
"512" "OFFICER" "Come with me."
"513" "OFFICIAL" "Close all external wards! Close all external wards!"
"514" "TARKIN" "Yes."
"515" "VOICE" "We captured a freighter entering the ruins of the Alderaan system. Its markings match those of a ship leaving Mos Eisley."
"516" "VADER" "They must be trying to return the stolen plans to the princess. She may still be of some use to us."
"517" "VOICE" "Unlock one-five-seven-nine. Release the charges."
"518" "OFFICER" "There is no one on board, sir. According to the log, the crew abandoned ship shortly after takeoff. Must be a decoy, sir. Several escape pods were discarded."
"519" "VADER" "Did you find any droids?"
"520" "OFFICER" "No, sir. If there were any on board, they must have abandoned it as well."
"521" "VADER" "Send a scan team aboard. I want every part of this ship checked."
"522" "OFFICER" "Yes, sir."
"523" "VADER" "I feel something... a presence I haven't felt since..."
"524" "OFFICER" "Get me a double scan team here. I want every part of this ship checked!"
"525" "LUKE" "Boy, how lucky are you to have those compartments."
"526" "HAN" "I use them for smuggling. I never thought I'd be smuggling myself in them. This is ridiculous. Even if I could take off, I'd never get past the tractor beam."
"527" "BEN" "Leave it to me!"
"528" "HAN" "Damn idiot. I knew you were going to say that!"
"529" "BEN" "Who is more foolish... the fool or the fool who follows him?"
"530" "TROOPER" "The ship is all yours. If the scanners detect anything, report it immediately. Alright, let's go."
"531" "HAN" "Hey, could you give us a hand with this?"
"532" "GANTRY OFFICER" "TX-four-one-two. Why aren't you at your post? TX-four-one-two, do you copy?"
"533" "GANTRY OFFICER" "Take over. We have a bad transmitter. I'll see what I can do."
"534" "LUKE" "You know, between his howling and you blowing up everything in sight, it's a wonder the entire station doesn't know we're here."
"535" "HAN" "Bring them in! I prefer a straight fight to all this confusion."
"536" "THREEPIO" "We found the computer socket, sir."
"537" "BEN" "Connect. It should be able to interpret the entire Imperial computer network."
"538" "THREEPIO" "He says he has found the main control of the energy beam that is holding the ship here. He will try to get the precise location to appear on the monitor."
"539" "THREEPIO" "The tractor beam attaches to the main reactor in seven locations. A loss of power at one of the terminals will allow the ship to leave."
"540" "BEN" "I don't think you boys can help. I must go alone."
"541" "HAN" "Whatever you say. I've done more than I expected on this trip."
"542" "LUKE" "I want to go with you."
"543" "BEN" "Be patient, Luke. Stay and take care of the droids."
"544" "LUKE" "But he can..."
"545" "BEN" "They must be delivered safely or other star systems will suffer the same fate as Alderaan. Your destiny is on a different path than mine. The Force will be with you...always!"
"546" "HAN" "Man, you said it, Chewie."
"547" "HAN" "Where did you dig up that old fossil?"
"548" "LUKE" "Ben is a great man."
"549" "HAN" "Yeah, great for getting us in trouble."
"550" "LUKE" "I didn't hear you give any ideas..."
"551" "HAN" "Well, anything would be better than waiting for them to pick us up..."
"552" "LUKE" "Who do you think..."
"553" "LUKE" "What is it?"
"554" "THREEPIO" "I guess I'm not sure, sir. He says \"I found her\" and keeps saying \"She's here\""
"555" "LUKE" "Well, who... who did he meet?"
"556" "THREEPIO" "Princess Leia."
"557" "LUKE" "The princess? Is she here?"
"558" "HAN" "Princess?"
"559" "LUKE" "Where...where is she?"
"560" "HAN" "Princess? What's going on?"
"561" "THREEPIO" "Level five. Detention block AA-twenty-three. I'm afraid she's scheduled for dismissal."
"562" "LUKE" "Oh no! We have to do something."
"563" "HAN" "What are you talking about?"
"564" "LUKE" "The droid belongs to her. She's the one in the message. We have to help her."
"565" "HAN" "Now, look, don't get any funny ideas. The old man wants us to wait right here."
"566" "LUKE" "But he didn't know she was here. Look, are you going to find a way back to the detention block?"
"567" "HAN" "I'm not going anywhere."
"568" "LUKE" "They're going to execute her. Look, a few minutes ago you said you didn't want to just wait here to be captured. Now all you want to do is stay."
"569" "HAN" "Marching into the detention area is not what I had in mind."
"570" "LUKE" "But they're going to kill her!"
"571" "HAN" "Better her than me..."
"572" "LUKE" "She's rich."
"573" "HAN" "Rich?"
"574" "LUKE" "Yes. Rich, powerful! Listen, if you were to rescue her, the reward would be..."
"575" "HAN" "What?"
"576" "LUKE" "Well, more wealth than you can imagine."
"577" "HAN" "I don't know, I can imagine a lot!"
"578" "LUKE" "You'll do it!"
"579" "HAN" "I better!"
"580" "LUKE" "Will you..."
"581" "HAN" "Alright, kid. But you better be right about this!"
"582" "LUKE" "Okay."
"583" "HAN" "What's your plan?"
"584" "LUKE" "Uh... Threepio, give me those binders, will you?"
"585" "LUKE" "Okay. Now, I'm going to put this on you."
"586" "LUKE" "Okay. Han, you put it on."
"587" "HAN" "Don't worry, Chewie. I think I know what he has in mind."
"588" "THREEPIO" "Master Luke, sir! Forgive me for asking... but, ah... what should Artoo and I do if we are discovered here?"
"589" "LUKE" "Lock the door!"
"590" "HAN" "And I hope they don't have blasters."
"591" "THREEPIO" "That's not very comforting."
"592" "LUKE" "I can't see anything in this helmet."
"593" "HAN" "That won't work."
"594" "LUKE" "Why didn't you say that before?"
"595" "HAN" "I said that before!"
"596" "OFFICER" "Where are you taking this... thing?"
"597" "LUKE" "Prisoner transfer from Block one-one-three-eight."
"598" "OFFICIAL" "I haven't been notified. I'll have to clean it up."
"599" "HAN" "Careful! He's loose!"
"600" "LUKE" "He's going to tear us apart."
"601" "HAN" "Go get him!"
"602" "HAN" "We have to find out which cell this princess of yours is in. Here she is... cell twenty-one and eight and seven. You go get her. I'll keep them here."
"603" "HAN" "Everything is under control. Situation is normal."
"604" "VOICE INTERCOM" "What happened?"
"605" "HAN" "Uh... there was a little malfunction in the weapons. But, uh, everything is perfectly fine now. We're fine. We're all fine here, now, thank you. How are you?"
"606" "INTERCOM VOICE" "We're sending a squad."
"607" "HAN" "Uh, uh, negative, negative. We've got a leak in the reactor here now. Give us a few minutes to block it. Big leak... very dangerous."
"608" "INTERCOM VOICE" "Who is this? What is your operation number?"
"609" "HAN" "Boring talk anyway. Luke! We'll have company!"
"610" "READ" "Aren't you a little short for a stormtrooper?"
"611" "LUKE" "What? Oh... the uniform. I'm Luke Skywalker. I'm here to rescue you."
"612" "READ" "Who are you?"
"613" "LUKE" "I'm here to rescue you. I have your R2 unit. I'm here with Ben Kenobi."
"614" "READ" "Ben Kenobi is here! Where is he?"
"615" "LUKE" "Let's go!"
"616" "VADER" "He's here..."
"617" "TARKIN" "Obi-Wan Kenobi! What makes you think that?"
"618" "VADER" "A tremor in the Force. The last time I felt it was in the presence of my former master."
"619" "TARKIN" "Surely he must be dead now."
"620" "VADER" "Don't underestimate the Force."
"621" "TARKIN" "The Jedi are extinct, their fire has gone out of the universe. You, my friend, are all that remains of their religion."
"622" "TARKIN" "Yes."
"623" "INTERCOM VOICE" "Governor Tarkin, we have an emergency alert in detention block AA-twenty-three."
"624" "TARKIN" "The princess! Put all sections on alert!"
"625" "VADER" "Obi-Wan is here. The Force is with him."
"626" "TARKIN" "If you're right, he can't escape."
"627" "VADER" "Escape may not be your plan. I must face it alone."
"628" "HAN" "Chewie!"
"629" "HAN" "Stay behind me! Stay behind me!"
"630" "HAN" "You can't leave like that."
"631" "READ" "Looks like you managed to cut off our only escape route."
"632" "HAN" "Perhaps you would like back in your cell, Your Highness."
"633" "LUKE" "See-Three! See-Three!"
"634" "THREE" "Yes sir?"
"635" "LUKE" "We were cut! Are there other ways to get out of the cell?...What was that? I didn't copy!"
"636" "THREEPIO" "I told you, all systems have been alerted to your presence, sir. The main entrance appears to be the only exit; all other information on your level is restricted."
"637" "SOLDIER'S VOICE" "Open up!"
"638" "THREEPIO" "Oh no!"
"639" "LUKE" "There is no other way."
"640" "HAN" "I can't hold them forever! What now?"
"641" "READ" "This is a rescue. When you came in here, didn't you have a plan to get out?"
"642" "HAN" "He's the brains, honey."
"643" "LUKE" "Well, I don't..."
"644" "HAN" "What the hell are you doing?"
"645" "READ" "Someone has to save our skins. In the trash, smart guy."
"646" "HAN" "Get in there you big hairy idiot! I don't care what you smell like! Get in there and don't worry about it."
"647" "HAN" "Wonderful girl! Either I'm going to kill her or I'm starting to like her. Get in there!"
"648" "HAN" "Ah! The trash chute was a really wonderful idea. What an incredible smell you discovered! Let's get out of here! Get out of there..."
"649" "LUKE" "No! Wait!"
"650" "LUKE" "Are you going to forget? I already tried. It's magnetically sealed!"
"651" "READ" "Put that thing away! You're going to kill us all."
"652" "HAN" "Absolutely, Your Honor. Look, I had everything under control until you brought us here. You know, it won't take long for them to figure out what happened to us."
"653" "READ" "It could be worse..."
"654" "HAN" "It's worse."
"655" "LUKE" "There's something alive here!"
"656" "HAN" "That's your imagination."
"657" "LUKE" "Something goes through my leg! Look! Did you see that?"
"658" "HAN" "What?"
"659" "LUKE" "Help!"
"660" "HAN" "Luke! Luke! Luke!"
"661" "READ" "Luke!"
"662" "READ" "Luke, Luke, take this."
"663" "LUKE" "Dammit, please! My gun is jammed."
"664" "HAN" "Where?"
"665" "LUKE" "Anywhere! Oh!!"
"666" "HAN" "Luke! Luke!"
"667" "READ" "Grab him!"
"668" "READ" "What happened?"
"669" "LUKE" "I don't know, he just let me go and disappeared..."
"670" "HAN" "I have a bad feeling about this."
"671" "LUKE" "The walls are moving!"
"672" "READ" "Don't just stand there. Try to hold him with something."
"673" "LUKE" "Wait a minute!"
"674" "LUKE" "Threepio! Come on Threepio! Threepio! Where could he be?"
"675" "FIRST SOLDIER" "Take over! Take care of him! Look over there!"
"676" "THREEPIO" "They're crazy! They're heading for the prison level. If you hurry, you can catch them."
"677" "FIRST OFFICER" "Follow me! You stand guard."
"678" "THREEPIO" "Come on!"
"679" "THREEPIO" "Ah! All this excitement has invaded my colleague's circuits here. If you don't mind, I'd like to take him in for maintenance."
"680" "SOLDIER" "Okay."
"681" "LUKE" "Threepio! Come in, Threepio! Threepio!"
"682" "HAN" "Get to the top!"
"683" "READ" "I can't"
"684" "LUKE" "Where could he be? Threepio! Threepio, can you come in?"
"685" "THREEPIO" "They're not here! Something must have happened to them. See if they've been captured."
"686" "THREEPIO" "Quick!"
"687" "HAN" "One thing is for sure. We're all going to get a lot thinner! Stay on top of it!"
"688" "READ" "I'm trying!"
"689" "THREEPIO" "Thank God, they didn't find them! Where could they be?"
"690" "THREEPIO" "Use the comlink? Oh, my! I forgot I turned it off!"
"691" "THREEPIO" "Are you there, sir?"
"692" "LUKE" "Threepies!"
"693" "THREEPIO" "We had some problems..."
"694" "LUKE" "Close all garbage disposals on the detention level, will you? Will you copy?"
"695" "LUKE" "Close all garbage disposals on the detention level."
"696" "LUKE" "Close all garbage disposals on the detention level."
"697" "THREEPIO" "No. Turn them all off! Hurry!"
"698" "THREEPIO" "Listen to them! They're dying, Artoo! Damn my metal body! I wasn't fast enough. It's all my fault! My poor master!"
"699" "LUKE" "Threepio, we're fine!"
"700" "LUKE" "We're fine. You did great."
"701" "LUKE" "Hey... hey, open the pressure maintenance hatch on unit number... where are we?"
"702" "HAN" "Three-two-six-eight-two-seven."
"703" "HAN" "If we can avoid any more female advice, we should be able to get out of here."
"704" "LUKE" "Well, let's get moving!"
"705" "HAN" "Where are you going?"
"706" "READ" "No, wait. They will hear!"
"707" "HAN" "Come here, you big coward!"
"708" "HAN" "Chewie! Come here!"
"709" "READ" "Listen. I don't know who you are, or where you came from, but from now on, you do as I say. Okay?"
"710" "HAN" "Look, Your Excellency, let's get something straight! I take orders from one person! Me!"
"711" "READ" "It's a wonder you're still alive. Will someone get this big walking carpet out of my way?"
"712" "HAN" "No reward is worth this."
"713" "OFFICIAL" "Secure this area until the alert is canceled."
"714" "FIRST SOLDIER" "Give me regular reports."
"715" "FIRST SOLDIER" "Do you know what's going on?"
"716" "SECOND SOLDIER" "Maybe it's another exercise."
"717" "SECOND SOLDIER" "What was that?"
"718" "FIRST SOLDIER" "Oh, it's nothing. Don't worry about it."
"719" "HAN" "There she is."
"720" "LUKE" "See-Threepio, do you copy?"
"721" "THREEPIO" "Right now. Uh, we're in the main hangar in front of the ship."
"722" "LUKE" "We're right above you. Hold on."
"723" "READ" "You came in that thing? You're braver than I thought."
"724" "HAN" "Cool! Let's go!"
"725" "FIRST SOLDIER" "It's them! Destroy them!"
"726" "HAN" "Get back to the ship!"
"727" "LUKE" "Where are you going? Come back!"
"728" "READ" "He certainly has courage."
"729" "LUKE" "What good will it do us if he kills himself? Let's go!"
"730" "LUKE" "I think we took a wrong turn."
"731" "READ" "There is no lock!"
"732" "LUKE" "That should hold for a while."
"733" "READ" "Quickly, we have to cross. Find the control that extends the bridge."
"734" "LUKE" "Oh, I think I just messed up."
"735" "READ" "They're coming!"
"736" "LUKE" "Here, hold this."
"737" "READ" "Here they come!"
"738" "READ" "For good luck!"
"739" "THREEPIO" "Where could they be?"
"740" "TROOPER" "Close the security doors!"
"741" "TROOPER" "Open the blast doors! Open the blast doors!"
"742" "VADER" "I have been waiting for you, Obi-Wan. We meet again, at last. The circle is now complete."
"743" "VADER" "When I left you, I was just the apprentice; now I am the master."
"744" "BEN" "Just a master of evil, Darth."
"745" "VADER" "Your powers are weak, old man."
"746" "BEN" "You can't win, Darth. If you take me down, I will become more powerful than you can imagine."
"747" "HAN" "Didn't we just leave this party?"
"748" "HAN" "What held you?"
"749" "READ" "We ran into some old friends."
"750" "LUKE" "Is the ship okay?"
"751" "HAN" "Sounds good, if we can get it. I just hope the old man took the tractor beam out of service."
"752" "LUKE" "Look!"
"753" "THREEPIO" "Come on, Artoo, we're coming!"
"754" "HAN" "Now's our chance! Go!"
"755" "LUKE" "No!"
"756" "HAN" "Let's go!"
"757" "READ" "Come on! Luke, it's too late!"
"758" "HAN" "Fix the door! Kid!"
"759" "BEN" "Run, Luke! Run!"
"760" "HAN" "I hope the old man took out that tractor beam if it's working, or this is going to be a pretty short trip. Okay, get it right!"
"761" "HAN" "We're approaching the sentry ships. Hold them off! Tilt the deflector shields while I load the main cannons!"
"762" "LUKE" "I can't believe he's gone."
"763" "READ" "There was nothing you could have done."
"764" "HAN" "Come on, buddy, we're not out of this yet!"
"765" "HAN" "You in, kid? Okay, stay sharp!"
"766" "READ" "Here they come!"
"767" "LUKE" "They're coming too fast!"
"768" "THREEPIO" "Oooh!"
"769" "READ" "We've lost the side controls."
"770" "HAN" "Don't worry, she'll handle it."
"771" "HAN" "Did you hear me, baby? Hang in there!"
"772" "LUKE" "I got him! I got him!"
"773" "HAN" "Great kid! Don't be arrogant."
"774" "READ" "There are still two more out there!"
"775" "LUKE" "That's it! We did it!"
"776" "READ" "We did it!"
"777" "THREEPIO" "Help! I think I'm melting! This is all your fault."
"778" "TARKIN" "Are they out?"
"779" "VADER" "They just jumped into hyperspace."
"780" "TARKIN" "Are you sure the tracking beacon is safe aboard their ship? I'm taking a terrible risk, Vader. This better work."
"781" "HAN" "Not a bad rescue, huh? You know, sometimes I even surprise myself."
"782" "READ" "That doesn't seem too difficult. Besides, they let us go. It's the only explanation for the ease of our escape."
"783" "HAN" "Easy... you call that easy?"
"784" "READ" "They're tracking us!"
"785" "HAN" "Not this ship, sister."
"786" "READ" "At least the information on Artoo is still intact."
"787" "HAN" "What's so important? What is he carrying?"
"788" "READ" "The technical readings from that battle station. I can only hope that when the data is analyzed, a weakness can be found. It's not over yet!"
"789" "HAN" "It's for me, sister! Look, I'm not in it for your revolution, and I'm not in it for you, princess. I hope I get paid well. I'm in it for the money!"
"790" "READ" "You don't need to worry about your reward. If money is all you love, then that's what you'll get!"
"791" "READ" "Your friend is a mercenary. I wonder if he really cares about anything...or anyone."
"792" "LUKE" "I care!"
"793" "LUKE" "So... what do you think of her, Han?"
"794" "HAN" "I'm trying not to, kid!"
"795" "LUKE" "Good..."
"796" "HAN" "Still, she has a lot of spirit. I don't know, what do you think? Do you think a princess and a guy like me..."
"797" "LUKE" "No!"
"798" "WILLARD" "You are safe! We had feared the worst."
"799" "WILLARD" "When we heard about Alderaan, we were afraid that you were... lost along with your father."
"800" "READ" "We have no time for our sorrows, Commander. The battle station has certainly located us here. It is the only explanation for the ease of our escape. You must use the information from this R2 unit to plan the attack. It is our only hope."
"801" "TARKIN" "Yes."
"802" "DEATH STAR INTERCOM VOICE" "We are approaching the planet Yavin. The rebel base is on a moon on the other side. We are preparing to orbit the planet."
"803" "DODONNA" "The battle station is heavily armored and carries firepower greater than half that of Starfleet. Its defenses are designed around a large-scale direct attack. A small one-man fighter should be able to penetrate external defense."
"804" "GOLDEN LEADER" "Forgive me for asking, sir, but what good will snobbish fighters be against this?"
"805" "DODONNA" "Well, the Empire doesn't consider a small one-man fighter to be a threat, or they would have a tighter defense. An analysis of the plans provided by Princess Leia demonstrated a weakness in the battle station."
"806" "DODONNA" "The approach will not be easy. You are required to maneuver straight through this trench and skim the surface to this point. The target area is only two meters wide. It is a small thermal exhaust port, so below the main port. The shaft leads directly to the reactor system. A precise hit will start a chain reaction that should destroy the station.
"807" "DODONNA" "Just one precise hit will trigger a chain reaction. The shaft is shielded against lightning, so you'll have to use proton torpedoes."
"808" "WEDGE" "That's impossible, even for a computer."
"809" "LUKE" "It's not impossible. I used to hunt rats in my T-16 at home. They're not much bigger than two meters."
"810" "DODONNA" "Man your ships! And may the Force be with you!"
"811" "DEATH STAR INTERCOM VOICE" "Orbiting the planet at maximum speed. The moon with the Rebel base will be in range in thirty minutes."
"812" "VADER" "This will be a day long remembered. He saw the end of Kenobi and will soon see the end of the Rebellion."
"813" "MAN" "All flight troops, man your stations. All flight troops, man your stations."
"814" "LUKE" "So... you've received your reward and are leaving?"
"815" "HAN" "That's right, yes! I have some old debts that I have to pay off with these things. Even if I didn't, don't you think I'd be foolish enough to stick around, do you? Why would you Won't you come with us? You're really good in a fight. I could use you."
"816" "LUKE" "Come on! Why don't you take a look around? You know what's about to happen, what they're up against. They could use a good pilot like you. You're turning your back on them. "
"817" "HAN" "What good is a reward if you're not around to use it? Besides, attacking that battle station isn't my idea of ​​courage. It's more like suicide."
"818" "LUKE" "Alright. Well, take care of yourself, Han... I guess that's what you're best at, isn't it?"
"819" "HAN" "Hey, Luke... may the Force be with you!"
"820" "HAN" "What are you looking at? I know what I'm doing."
"821" "READ" "What's wrong?"
"822" "LUKE" "Ah, it's Han! I don't know, I really thought he would change his mind."
"823" "READ" "He has to follow his own path. No one can choose for him."
"824" "LUKE" "I just wish Ben was here."
"825" "BIGGS" "Luke! I can't believe it! How did you get here... are you going out with us?!"
"826" "LUKE" "Biggs! Of course, I'll be there with you! Listen, I have some stories to tell..."
"827" "RED LEADER" "Are you...Luke Skywalker? Have you been checked into the Incom T-65?"
"828" "BIGGS" "Sir, Luke is the best pilot in the outer rim territories."
"829" "RED LEADER" "I met your father once when I was just a boy. He was a great pilot. You will do well. If you have half as much skill as your father, you will do better than fine."
"830" "LUKE" "Thank you, sir. I'll try."
"831" "BIGGS" "I have to get on board. Listen, you're going to tell me your stories when we get back. Is that okay?"
"832" "LUKE" "I told you I'd make it one day, Biggs."
"833" "BIGGS" "You did it, okay. It'll be just like old times Luke. We're a couple of shooting stars who will never be stopped!"
"834" "BOSS" "This R2 unit of yours looks a little worn out. Do you want a new one?"
